Term,Coefficient,Signal
money,-31.2802198029502,Normal-indicative
cakes,30.34384338000459,Return-indicative
recipe box,27.609565100948256,Return-indicative
easter,-26.91708590361252,Normal-indicative
doorstop,-22.78660788466546,Normal-indicative
green,-22.7726220239763,Normal-indicative
photo,-22.256253434268945,Normal-indicative
wicker,-22.185281650388728,Normal-indicative
10,20.807045837890062,Return-indicative
pack of,-20.428830068832337,Normal-indicative
marker,-20.393067348978192,Normal-indicative
pad,-20.375792813256155,Normal-indicative
dinner,-20.17644178935452,Normal-indicative
cabinet,19.98205553923538,Return-indicative
english rose,-19.770213950907777,Normal-indicative
shopper,-19.743622790226933,Normal-indicative
regency tea,19.227800131130387,Return-indicative
cake stand,18.45548180393775,Return-indicative
hanger,-18.376177741539628,Normal-indicative
light holder,18.30671085722114,Return-indicative
bank,18.2612000507028,Return-indicative
owl,18.225395223668087,Return-indicative
ceramic trinket,18.164961901545507,Return-indicative
painted,-17.890573255300666,Normal-indicative
cake tins,17.49637663619024,Return-indicative
black skull,17.475539455060392,Return-indicative
diner,16.931870652991485,Return-indicative
lantern,16.42625243126069,Return-indicative
photo frame,16.379271582514,Return-indicative
picnic,-16.363777304266566,Normal-indicative
wooden,-15.947591074289205,Normal-indicative
jug,15.920158101053337,Return-indicative
stand,-15.908263235177344,Normal-indicative
vintage,-15.829287335503116,Normal-indicative
antique silver,-15.823479188473673,Normal-indicative
assorted colour,-15.758433821021121,Normal-indicative
hanging,15.752052311554593,Return-indicative
slate,-15.745601526236205,Normal-indicative
decorations,-15.200539088295095,Normal-indicative
vintage red,15.078505634024433,Return-indicative
kitchen scales,15.052856112291618,Return-indicative
heart,-14.977216387521963,Normal-indicative
on,-14.530843202520133,Normal-indicative
card,-14.443859851127954,Normal-indicative
set 10,-14.219184046656046,Normal-indicative
travel,-14.136465461774804,Normal-indicative
glass,-13.983988753164049,Normal-indicative
cookie,-13.925031838309541,Normal-indicative
cakestand,13.670812964180215,Return-indicative
cakestand tier,13.670812964180215,Return-indicative
strawberry,-13.653542757038332,Normal-indicative
umbrella,-13.645844592511683,Normal-indicative
regency,-13.516272195451768,Normal-indicative
christmas,-13.415140284821682,Normal-indicative
teatime,-13.308319060651513,Normal-indicative
set 20,-13.086956769531366,Normal-indicative
paper napkins,-13.071152020264563,Normal-indicative
bread,13.046562250929076,Return-indicative
bread bin,13.046562250929076,Return-indicative
tissues,-12.862581307799282,Normal-indicative
piece,12.741775452131549,Return-indicative
chain,-12.736506528715626,Normal-indicative
regency cakestand,12.583777169310135,Return-indicative
christmas scandinavian,-12.496839826846502,Normal-indicative
coffee,12.451084755165896,Return-indicative
game,-12.396675967306273,Normal-indicative
warmer,-12.349169926718472,Normal-indicative
biscuit tin,12.260874126412359,Return-indicative
bin,12.237037048443336,Return-indicative
woodland animals,-12.236600669656125,Normal-indicative
toadstool,12.133271484483906,Return-indicative
picture frame,12.06520616467386,Return-indicative
20 napkins,-11.997463871110575,Normal-indicative
happy,-11.99037319930741,Normal-indicative
silver,11.726192318182788,Return-indicative
metal,-11.535528424966046,Normal-indicative
charlotte,-11.279281849940952,Normal-indicative
in tin,-11.10166587074569,Normal-indicative
drawer,10.985059019639717,Return-indicative
heart decoration,10.966695320694539,Return-indicative
ball,-10.923928717226346,Normal-indicative
doily,-10.90232406581239,Normal-indicative
egg,-10.812111883178813,Normal-indicative
garland,-10.790859257610492,Normal-indicative
round,-10.781881362257126,Normal-indicative
vintage leaf,-10.605381876901063,Normal-indicative
spotty,-10.485717067667723,Normal-indicative
kneeling,10.303246257913635,Return-indicative
hot water,10.248120553679291,Return-indicative
water bottle,10.248120553679291,Return-indicative
basket,-10.234896794545524,Normal-indicative
of wicker,10.142735160640596,Return-indicative
boxes set,10.116934928922348,Return-indicative
daisy,10.074754400165334,Return-indicative
stars,-10.058804402501211,Normal-indicative
in box,-10.013988801797773,Normal-indicative
tins pantry,9.939916848514434,Return-indicative
bag spaceboy,-9.932153161537679,Normal-indicative
zinc,-9.80206171204971,Normal-indicative
suki,-9.771641139212413,Normal-indicative
scandinavian,-9.76675467091551,Normal-indicative
sweet home,-9.735533764899957,Normal-indicative
